Timestamp;N Tries;Avg Distance, m;Msg Size;Acks Received;PER;Failed To Send
2025-08-21 15:18:11.469;20;96.59;7;20;1.00;0
2025-08-21 15:19:44.785;20;96.57;16;20;1.00;0
2025-08-21 15:21:18.657;20;96.51;26;20;1.00;0
2025-08-21 15:22:54.699;20;96.54;56;20;1.00;0
2025-08-21 15:24:31.568;20;96.59;106;20;1.00;0
2025-08-21 15:26:07.707;20;96.60;7;20;1.00;0
2025-08-21 15:27:44.833;20;96.59;16;20;1.00;0
2025-08-21 15:29:35.264;20;96.61;26;20;1.00;0
2025-08-21 15:31:21.681;20;96.61;56;20;1.00;0
2025-08-21 15:32:47.489;20;96.62;106;20;1.00;0
2025-08-21 15:49:01.694;20;175.38;7;20;1.00;0
2025-08-21 15:50:45.726;20;175.38;16;20;1.00;0
2025-08-21 15:52:34.154;20;175.41;26;18;0.90;0
2025-08-21 15:54:25.085;20;175.39;56;20;1.00;0
2025-08-21 15:57:15.262;20;175.42;106;1;0.05;0
2025-08-21 16:03:06.499;20;174.19;106;2;0.10;0
