Timestamp;Src;Dst;Flags;Msg Size;Payload
2025-08-07 16:06:03.662;56;58;01;7;67
2025-08-07 16:06:10.669;56;58;01;7;C6
2025-08-07 16:06:15.674;56;58;01;7;69
2025-08-07 16:06:20.679;56;58;01;7;73
2025-08-07 16:06:25.684;56;58;01;7;51
2025-08-07 16:06:30.690;56;58;01;7;FF
2025-08-07 16:06:35.695;56;58;01;7;4A
2025-08-07 16:06:40.700;56;58;01;7;EC
2025-08-07 16:06:45.705;56;58;01;7;29
2025-08-07 16:06:50.710;56;58;01;7;CD
2025-08-07 16:06:55.714;56;58;01;7;BA
2025-08-07 16:07:00.720;56;58;01;7;AB
2025-08-07 16:07:05.725;56;58;01;7;F2
2025-08-07 16:07:10.731;56;58;01;7;FB
2025-08-07 16:07:15.736;56;58;01;7;E3
2025-08-07 16:07:20.741;56;58;01;7;46
2025-08-07 16:07:25.746;56;58;01;7;7C
2025-08-07 16:07:32.752;56;58;01;7;C2
2025-08-07 16:07:39.759;56;58;01;7;54
2025-08-07 16:07:44.764;56;58;01;7;F8
2025-08-07 16:08:04.009;56;58;02;7;67
2025-08-07 16:08:09.013;56;58;02;7;C6
2025-08-07 16:08:14.018;56;58;02;7;69
2025-08-07 16:08:19.023;56;58;02;7;73
2025-08-07 16:08:24.028;56;58;02;7;51
2025-08-07 16:08:29.033;56;58;02;7;FF
2025-08-07 16:08:34.038;56;58;02;7;4A
2025-08-07 16:08:39.043;56;58;02;7;EC
2025-08-07 16:08:44.048;56;58;02;7;29
2025-08-07 16:08:49.053;56;58;02;7;CD
2025-08-07 16:08:54.058;56;58;02;7;BA
2025-08-07 16:08:59.063;56;58;02;7;AB
2025-08-07 16:09:04.068;56;58;02;7;F2
2025-08-07 16:09:09.073;56;58;02;7;FB
2025-08-07 16:09:14.077;56;58;02;7;E3
2025-08-07 16:09:19.083;56;58;02;7;46
2025-08-07 16:09:24.088;56;58;02;7;7C
2025-08-07 16:09:29.093;56;58;02;7;C2
2025-08-07 16:09:34.099;56;58;02;7;54
2025-08-07 16:09:39.104;56;58;02;7;F8
