Timestamp;Type(DATA/DATA);Src;Dst;Avg Distance, m;Msg Size;Power;RSSI;Bit errors;Acg Mean
2025-08-05 16:07:52.351;DATA;56;58;0.00;7;39;51;0;14
2025-08-05 16:07:53.121;DATA;56;58;0.00;7;40;53;0;14
2025-08-05 16:07:53.891;DATA;56;58;0.00;7;39;50;0;14
2025-08-05 16:07:54.661;DATA;56;58;0.00;7;39;50;0;14
2025-08-05 16:07:55.430;DATA;56;58;0.00;7;39;50;0;14
2025-08-05 16:07:56.199;DATA;56;58;0.00;7;38;50;0;14
2025-08-05 16:07:56.968;DATA;56;58;0.00;7;39;50;0;14
2025-08-05 16:07:57.736;DATA;56;58;0.00;7;39;51;0;14
2025-08-05 16:07:58.508;DATA;56;58;0.00;7;39;51;0;14
2025-08-05 16:07:59.275;DATA;56;58;0.00;7;38;50;0;14
2025-08-05 16:08:00.045;DATA;56;58;0.00;7;39;51;0;14
2025-08-05 16:08:00.815;DATA;56;58;0.00;7;41;54;0;14
2025-08-05 16:08:01.584;DATA;56;58;0.00;7;40;53;0;14
2025-08-05 16:08:02.353;DATA;56;58;0.00;7;38;49;0;14
2025-08-05 16:08:03.123;DATA;56;58;0.00;7;38;51;0;14
2025-08-05 16:08:03.893;DATA;56;58;0.00;7;39;52;0;14
2025-08-05 16:08:04.663;DATA;56;58;0.00;7;39;53;0;14
2025-08-05 16:08:05.433;DATA;56;58;0.00;7;40;54;0;14
2025-08-05 16:08:06.200;DATA;56;58;0.00;7;38;50;0;14
2025-08-05 16:08:06.969;DATA;56;58;0.00;7;39;53;0;14
2025-08-05 16:08:46.992;DATA;56;58;0.00;16;40;52;0;14
2025-08-05 16:08:50.146;DATA;56;58;0.00;16;40;52;0;14
2025-08-05 16:08:51.194;DATA;56;58;0.00;16;39;51;0;14
2025-08-05 16:08:52.239;DATA;56;58;0.00;16;39;51;0;14
2025-08-05 16:08:53.287;DATA;56;58;0.00;16;41;54;0;14
2025-08-05 16:08:54.333;DATA;56;58;0.00;16;46;61;0;14
2025-08-05 16:08:55.380;DATA;56;58;0.00;16;38;51;0;14
2025-08-05 16:08:56.428;DATA;56;58;0.00;16;38;50;0;14
2025-08-05 16:08:57.476;DATA;56;58;0.00;16;39;51;0;14
2025-08-05 16:08:58.523;DATA;56;58;0.00;16;39;50;0;14
2025-08-05 16:08:59.571;DATA;56;58;0.00;16;39;51;0;14
2025-08-05 16:09:00.615;DATA;56;58;0.00;16;39;52;0;14
2025-08-05 16:09:01.663;DATA;56;58;0.00;16;39;52;0;14
2025-08-05 16:09:02.710;DATA;56;58;0.00;16;40;53;0;14
2025-08-05 16:09:03.756;DATA;56;58;0.00;16;40;53;0;14
2025-08-05 16:09:04.805;DATA;56;58;0.00;16;40;51;0;14
2025-08-05 16:09:05.851;DATA;56;58;0.00;16;40;53;0;14
2025-08-05 16:09:06.898;DATA;56;58;0.00;16;40;52;0;14
2025-08-05 16:09:07.944;DATA;56;58;0.00;16;40;52;0;14
2025-08-05 16:10:26.226;DATA;56;58;0.00;26;43;52;0;14
2025-08-05 16:10:27.612;DATA;56;58;0.00;26;38;46;0;14
2025-08-05 16:10:28.998;DATA;56;58;0.00;26;42;51;0;14
2025-08-05 16:10:30.386;DATA;56;58;0.00;26;44;53;0;14
2025-08-05 16:10:31.802;DATA;56;58;0.00;26;41;47;0;14
2025-08-05 16:10:33.156;DATA;56;58;0.00;26;44;55;0;14
2025-08-05 16:10:34.543;DATA;56;58;0.00;26;43;53;0;14
2025-08-05 16:10:35.928;DATA;56;58;0.00;26;40;44;0;14
2025-08-05 16:10:37.313;DATA;56;58;0.00;26;43;49;0;14
2025-08-05 16:10:38.699;DATA;56;58;0.00;26;45;54;0;14
2025-08-05 16:10:40.083;DATA;56;58;0.00;26;44;53;0;14
2025-08-05 16:10:41.468;DATA;56;58;0.00;26;42;51;0;14
2025-08-05 16:10:42.852;DATA;56;58;0.00;26;44;54;0;14
2025-08-05 16:10:44.237;DATA;56;58;0.00;26;42;50;0;14
2025-08-05 16:10:45.623;DATA;56;58;0.00;26;44;52;0;14
2025-08-05 16:10:47.008;DATA;56;58;0.00;26;45;53;0;14
2025-08-05 16:10:48.392;DATA;56;58;0.00;26;45;53;0;14
2025-08-05 16:10:49.777;DATA;56;58;0.00;26;45;53;0;14
2025-08-05 16:10:51.166;DATA;56;58;0.00;26;40;49;0;14
2025-08-05 16:10:52.546;DATA;56;58;0.00;26;40;47;0;14
2025-08-05 16:19:08.377;DATA;56;58;0.00;7;42;38;2;14
