Timestamp;Src;Dst;Flags;Msg Size;Payload
2025-08-07 16:55:34.213;56;58;02;7;67
2025-08-07 16:55:40.186;56;58;02;7;C6
2025-08-07 16:55:46.157;56;58;02;7;69
2025-08-07 16:55:51.267;56;58;02;7;73
2025-08-07 16:55:57.239;56;58;02;7;51
2025-08-07 16:56:03.212;56;58;02;7;FF
2025-08-07 16:56:09.185;56;58;02;7;4A
2025-08-07 16:56:14.295;56;58;02;7;EC
2025-08-07 16:56:20.266;56;58;02;7;29
2025-08-07 16:56:25.375;56;58;02;7;CD
2025-08-07 16:56:30.485;56;58;02;7;BA
2025-08-07 16:56:35.594;56;58;02;7;AB
2025-08-07 16:56:40.703;56;58;02;7;F2
2025-08-07 16:56:45.813;56;58;02;7;FB
2025-08-07 16:56:50.922;56;58;02;7;E3
2025-08-07 16:56:56.032;56;58;02;7;46
2025-08-07 16:57:02.003;56;58;02;7;7C
2025-08-07 16:57:08.289;56;58;02;7;67
2025-08-07 16:57:12.396;56;58;02;7;C6
2025-08-07 16:57:16.502;56;58;02;7;69
2025-08-07 16:57:20.609;56;58;02;7;73
2025-08-07 16:57:24.715;56;58;02;7;51
2025-08-07 16:57:28.821;56;58;02;7;FF
2025-08-07 16:57:42.117;56;58;02;7;67
2025-08-07 16:57:48.223;56;58;02;7;C6
2025-08-07 16:59:03.775;56;58;02;7;67
2025-08-07 16:59:07.880;56;58;02;7;C6
2025-08-07 16:59:11.985;56;58;02;7;69
2025-08-07 16:59:16.089;56;58;02;7;73
2025-08-07 16:59:20.194;56;58;02;7;51
2025-08-07 16:59:24.299;56;58;02;7;FF
2025-08-07 16:59:28.404;56;58;02;7;4A
2025-08-07 16:59:32.509;56;58;02;7;EC
2025-08-07 16:59:36.614;56;58;02;7;29
2025-08-07 16:59:40.719;56;58;02;7;CD
2025-08-07 16:59:44.824;56;58;02;7;BA
2025-08-07 16:59:48.929;56;58;02;7;AB
2025-08-07 16:59:53.034;56;58;02;7;F2
2025-08-07 16:59:57.139;56;58;02;7;FB
2025-08-07 17:00:01.244;56;58;02;7;E3
2025-08-07 17:00:05.349;56;58;02;7;46
2025-08-07 17:00:09.454;56;58;02;7;7C
2025-08-07 17:00:13.559;56;58;02;7;C2
2025-08-07 17:00:17.665;56;58;02;7;54
2025-08-07 17:00:21.770;56;58;02;7;F8
2025-08-07 17:08:11.470;56;58;02;7;67
2025-08-07 17:08:22.447;56;58;02;7;C6
2025-08-07 17:08:33.424;56;58;02;7;69
2025-08-07 17:08:43.534;56;58;02;7;73
2025-08-07 17:08:44.502;56;58;02;7;51
2025-08-07 17:08:45.469;56;58;02;7;FF
2025-08-07 17:08:46.437;56;58;02;7;4A
2025-08-07 17:08:47.405;56;58;02;7;EC
2025-08-07 17:08:48.373;56;58;02;7;29
2025-08-07 17:08:49.340;56;58;02;7;CD
2025-08-07 17:08:50.309;56;58;02;7;BA
2025-08-07 17:08:51.276;56;58;02;7;AB
2025-08-07 17:08:52.244;56;58;02;7;F2
2025-08-07 17:08:53.211;56;58;02;7;FB
2025-08-07 17:08:54.179;56;58;02;7;E3
2025-08-07 17:09:05.156;56;58;02;7;46
2025-08-07 17:09:06.124;56;58;02;7;7C
2025-08-07 17:09:17.097;56;58;02;7;C2
2025-08-07 17:09:18.065;56;58;02;7;54
2025-08-07 17:09:19.032;56;58;02;7;F8
