Timestamp;Src;Dst;Flags;Msg Size;Payload
2025-08-07 16:44:41.038;56;58;02;16;67 C6 69 73 51 FF 4A EC 29 CD
2025-08-07 16:44:47.145;56;58;02;16;BA AB F2 FB E3 46 7C C2 54 F8
2025-08-07 16:44:53.252;56;58;02;16;1B E8 E7 8D 76 5A 2E 63 33 9F
2025-08-07 16:44:59.360;56;58;02;16;C9 9A 66 32 0D B7 31 58 A3 5A
2025-08-07 16:45:05.468;56;58;02;16;25 5D 05 17 58 E9 5E D4 AB B2
2025-08-07 16:45:11.576;56;58;02;16;CD C6 9B B4 54 11 0E 82 74 41
2025-08-07 16:45:17.683;56;58;02;16;21 3D DC 87 70 E9 3E A1 41 E1
2025-08-07 16:45:21.789;56;58;02;16;FC 67 3E 01 7E 97 EA DC 6B 96
2025-08-07 16:45:27.897;56;58;02;16;8F 38 5C 2A EC B0 3B FB 32 AF
2025-08-07 16:45:34.004;56;58;02;16;3C 54 EC 18 DB 5C 02 1A FE 43
2025-08-07 16:45:40.112;56;58;02;16;FB FA AA 3A FB 29 D1 E6 05 3C
2025-08-07 16:45:44.218;56;58;02;16;7C 94 75 D8 BE 61 89 F9 5C BB
2025-08-07 16:45:48.325;56;58;02;16;A8 99 0F 95 B1 EB F1 B3 05 EF
2025-08-07 16:45:54.433;56;58;02;16;F7 00 E9 A1 3A E5 CA 0B CB D0
2025-08-07 16:45:58.539;56;58;02;16;48 47 64 BD 1F 23 1E A8 1C 7B
2025-08-07 16:46:04.647;56;58;02;16;64 C5 14 73 5A C5 5E 4B 79 63
2025-08-07 16:46:10.754;56;58;02;16;3B 70 64 24 11 9E 09 DC AA D4
2025-08-07 16:46:16.862;56;58;02;16;AC F2 1B 10 AF 3B 33 CD E3 50
2025-08-07 16:46:22.970;56;58;02;16;48 47 15 5C BB 6F 22 19 BA 9B
2025-08-07 16:46:29.078;56;58;02;16;7D F5 0B E1 1A 1C 7F 23 F8 29
2025-08-07 17:11:00.261;56;58;02;16;67 C6 69 73 51 FF 4A EC 29 CD
2025-08-07 17:11:08.513;56;58;02;16;BA AB F2 FB E3 46 7C C2 54 F8
2025-08-07 17:11:09.758;56;58;02;16;1B E8 E7 8D 76 5A 2E 63 33 9F
2025-08-07 17:11:11.004;56;58;02;16;C9 9A 66 32 0D B7 31 58 A3 5A
2025-08-07 17:11:12.250;56;58;02;16;25 5D 05 17 58 E9 5E D4 AB B2
2025-08-07 17:11:13.494;56;58;02;16;CD C6 9B B4 54 11 0E 82 74 41
2025-08-07 17:11:14.739;56;58;02;16;21 3D DC 87 70 E9 3E A1 41 E1
2025-08-07 17:11:15.984;56;58;02;16;FC 67 3E 01 7E 97 EA DC 6B 96
2025-08-07 17:11:17.229;56;58;02;16;8F 38 5C 2A EC B0 3B FB 32 AF
2025-08-07 17:11:18.475;56;58;02;16;3C 54 EC 18 DB 5C 02 1A FE 43
2025-08-07 17:11:19.720;56;58;02;16;FB FA AA 3A FB 29 D1 E6 05 3C
2025-08-07 17:11:20.965;56;58;02;16;7C 94 75 D8 BE 61 89 F9 5C BB
2025-08-07 17:11:29.216;56;58;02;16;A8 99 0F 95 B1 EB F1 B3 05 EF
2025-08-07 17:11:30.462;56;58;02;16;F7 00 E9 A1 3A E5 CA 0B CB D0
2025-08-07 17:11:31.708;56;58;02;16;48 47 64 BD 1F 23 1E A8 1C 7B
2025-08-07 17:11:32.953;56;58;02;16;64 C5 14 73 5A C5 5E 4B 79 63
2025-08-07 17:11:41.199;56;58;02;16;3B 70 64 24 11 9E 09 DC AA D4
2025-08-07 17:11:42.445;56;58;02;16;AC F2 1B 10 AF 3B 33 CD E3 50
2025-08-07 17:11:50.696;56;58;02;16;48 47 15 5C BB 6F 22 19 BA 9B
2025-08-07 17:11:51.942;56;58;02;16;7D F5 0B E1 1A 1C 7F 23 F8 29
